State Name/Location,pricing,Emi,Project Name,Location,Config,Possession Status
thrissur_kerala,24.01 L - 32.42 L,EMI starts at 20.2 K,Group Breeze,"Puthurkkara, Thrissur",2 BHK Apartment,Ready to Move
thrissur_kerala,16.77 L - 23.43 L,EMI starts at 14.6 K,Roshma Dwaraka Puri,"Punkunnam, Thrissur","2, 3 BHK Apartments",Ready to Move
thrissur_kerala,28.93 L - 43.49 L,EMI starts at 27.1 K,Gokulam Akula,Thrissur,"2, 3 BHK Apartments",Ready to Move
kozhikode_kerala,53.87 L - 65.78 L,EMI starts at 41 K,Southern Investments Bedford Enclave Apartments,"Ummalathoor, Kozhikode","2, 3 BHK Apartments",Ready to Move
kozhikode_kerala,89.86 L - 1.28 Cr,EMI starts at 74.8 K,Zealots Golden Terrace,"Nellikkode, Kozhikode","3, 4 BHK Villas","Apr, 2020"
kozhikode_kerala,83.99 L - 1.85 Cr,EMI starts at 1.08 Lacs,Good Walk On The Clouds,"Malaparamba, Kozhikode","2.5, 3, 4 BHK Apartment, Penthouses","Mar, 2020"
kozhikode_kerala,1.56 Cr - 2.9 Cr,EMI starts at 1.69 Lacs,Malabar Grand Oak,"Koombara, Kozhikode","2.5, 3, 4 BHK Apartments",Under Construction
kozhikode_kerala,52.97 L - 78.01 L,EMI starts at 45.6 K, Emerald,"Pokkunnu, Kozhikode","2, 3 BHK Apartments","Dec, 2019"
kozhikode_kerala,30.41 L - 1.51 Cr,EMI starts at 88.1 K,Crescent Lavender,"Puthiyangadi, Kozhikode","1, 2, 3, 5 BHK Apartments","Dec, 2019"
kozhikode_kerala,50.16 L - 89.97 L,EMI starts at 52.6 K,Confident Exotica,"Koottuli, Kozhikode","2, 3 BHK Apartments","Dec, 2019"
kozhikode_kerala,60.53 L - 92.33 L,EMI starts at 53.9 K,Seiken Victoria,"Koombara, Kozhikode","2, 3 BHK Apartments",Under Construction
kozhikode_kerala,73.32 L - 1.52 Cr,EMI starts at 88.6 K,Malabar Royal Pine,"Koombara, Kozhikode","2, 3, 4, 4.5 BHK Apartments",Ready to Move
kozhikode_kerala,40.99 L - 1.05 Cr,EMI starts at 61.6 K,Queens Windsor Castle,"Paroppadi, Kozhikode","1.5, 2.5, 3.5, 4.5 BHK Apartments",Ready to Move
kozhikode_kerala,95.37 L - 1.59 Cr,EMI starts at 93.1 K,Asset Gulmohar,"Kallai, Kozhikode","3, 4 BHK Apartments",Ready to Move
kozhikode_kerala,1.49 Cr - 1.83 Cr,EMI starts at 1.07 Lacs,Hilite Springdale,"Poovangal, Kozhikode",3 BHK Villa,Ready to Move
kozhikode_kerala,60.76 L - 90.38 L,EMI starts at 52.8 K,Malabar Silver Linden,"Kannanchery, Kozhikode","2, 3 BHK Apartments",Ready to Move
kozhikode_kerala,62.91 L - 1.61 Cr,EMI starts at 94 K,Hilite Residency,"Poovangal, Kozhikode","2, 2.5, 3, 4.5, 5.5 BHK Apartments",Ready to Move
kozhikode_kerala,66.67 L - 1.49 Cr,EMI starts at 86.9 K,Crescent Zinnia,"Pottammal, Kozhikode","2, 3, 4 BHK Apartments",Ready to Move
kozhikode_kerala,1.56 Cr - 2.9 Cr,EMI starts at 1.69 Lacs,Malabar Grand Oak,"Koombara, Kozhikode","2.5, 3, 4 BHK Apartments",Under Construction
kozhikode_kerala,1.71 Cr - 3.27 Cr,EMI starts at 1.91 Lacs,Landmark Highlands,"Nellikkode, Kozhikode",4 BHK Villa,Ready to Move
kozhikode_kerala,2.78 Cr,EMI starts at 1.62 Lacs,Kristal Four Seasons,"Chevayur, Kozhikode",4 BHK Apartment,Ready to Move
kozhikode_kerala,1.75 Cr - 2.02 Cr,EMI starts at 1.17 Lacs,Zealots Royal Castle,"Ummalathoor, Kozhikode","4, 5 BHK Villas",Ready to Move
kozhikode_kerala,1.25 Cr - 1.82 Cr,EMI starts at 1.06 Lacs,Seiken Courtyard,"Vrindavan Colony, Kozhikode","3, 4 BHK Villas",Ready to Move
